City ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
332,2729907,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,10.36
333,4328010,Houma,US,29.5958,-90.7195,81.32,60,20,9.22
334,5847411,Kahului,US,20.8947,-156.47,79.68,72,12,2.82
335,6089245,Norman Wells,CA,65.282,-126.8329,53.01,46,93,6.44
336,1712961,Gigmoto,PH,13.7796,124.39,80.24,82,49,4.12
337,3115824,Muros,ES,42.7762,-9.0603,54.99,83,23,8.77
338,2120048,Ust-Nera,RU,64.5667,143.2,42.67,78,100,0.58
339,2180815,Tuatapere,NZ,-46.1333,167.6833,34.83,87,12,4.45
340,2377457,Nouadhibou,MR,20.931,-17.0347,65.64,83,0,26.8
341,2640377,Penzance,GB,50.1186,-5.5371,49.66,80,15,21.52
342,3466704,Castro,BR,-24.7911,-50.0119,48.78,68,87,2.66
343,1505529,Irbeyskoye,RU,55.6428,95.4522,46.9,94,67,12.33
344,7117100,Vila,PT,42.0304,-8.1588,47.16,94,40,3.51
345,1280849,Kashgar,CN,39.4547,75.9797,64.49,24,93,4.34
346,2121385,Severo-Kuril'sk,RU,50.6789,156.125,40.6,72,99,14.12
347,3435264,Concepción del Uruguay,AR,-32.4825,-58.2372,59.22,65,66,8.3
348,1794971,Shitanjing,CN,39.2342,106.3439,53.92,23,39,9.64
349,1028434,Quelimane,MZ,-17.8786,36.8883,76.95,88,20,6.91
350,2025456,Chernyshevskiy,RU,63.0128,112.4714,42.03,45,33,2.71
351,4155751,Florida,US,28.7505,-82.5001,87.08,41,1,1.01
352,3393692,Itarema,BR,-2.9248,-39.9167,80.62,79,81,13.65
353,2127202,Anadyr,RU,64.75,177.4833,48.7,78,0,11.5
354,2409306,Freetown,SL,8.484,-13.2299,81.5,79,59,7.81
355,2019951,Mirny,RU,62.5353,113.9611,41.23,47,69,3.36
356,1337607,Kudahuvadhoo,MV,2.6708,72.8944,83.61,74,87,19.17
357,3870243,Taltal,CL,-25.4,-70.4833,66.54,68,100,5.17
358,2063036,Port Lincoln,AU,-34.7333,135.8667,57.43,68,69,26.6
359,6355222,Yulara,AU,-25.2406,130.9889,58.84,77,40,5.75
360,2013459,Verkh-Usugli,RU,52.7,115.1667,31.55,70,76,4.41
361,3416888,Grindavik,IS,63.8424,-22.4338,46.87,72,75,14.76
362,3671450,Inírida,CO,3.8653,-67.9239,77.77,95,99,1.68
363,676537,Gura Foii,RO,44.75,25.2833,60.55,71,58,11.16
364,3128382,Béjar,ES,40.3864,-5.7634,51.94,66,22,4.9
